TIMESTAMP,TA_F,P_F,PPFD_IN,LE_F_MDS,NEE_VUT_REF,GPP_DT_VUT_REF
20070829,20.294,0,568.7916667,70.305,-1.9544,9.55118
20070830,21.309,3.7,299.84375,49.0955,-0.674409,7.02045
20070831,16.821,8.4,155.1083333,21.5704,1.69549,4.66321
20070901,15.684,0,497.9979167,106.147,-2.61596,7.64987
20070902,15.144,0,530.5,72.6708,-2.32535,6.30604
20070903,19.108,0,397.6708333,69.9473,-0.751255,4.518
20070904,15.609,0,481.8958333,69.0752,-1.32073,5.11028
20070905,12.444,0,552.3958333,74.6289,-1.23045,7.36398
20070906,14.395,0,444.0708333,58.2059,-4.20126,8.18505
20070907,22.06,0,455.68125,61.1051,-2.60135,8.41911
20070908,24.215,0,356.8708333,57.7787,-1.70012,7.38823
20070909,16.181,4.2,332.3208333,52.78,-0.125862,6.39344
20070910,14.976,0.6,126.8375,8.89589,1.96566,2.92452
20070911,15.277,6.3,61.91875,3.05981,3.19237,1.04394
20070912,15.455,0.1,429.7666667,66.2791,-2.21024,4.96612
20070913,12.418,0,503.5479167,66.4383,-1.70972,5.7778
20070914,13.777,0,490.3541667,54.1614,-2.03684,5.72612
20070915,13.073,2.1,73.50416667,0.822917,2.32592,1.06358
20070916,10.127,0,446.1833333,66.9999,-2.42197,5.71332
20070917,10.918,0,474.6145833,49.2643,-1.98538,5.6369
20070918,12.539,0,469.7020833,52.4592,-1.31734,5.35995
20070919,13.858,0,469.1916667,43.1033,-1.16667,5.53089
20070920,16.327,0,403.0541667,52.6833,-0.912196,5.38368
20070921,16.164,0,413.9333333,52.7205,-1.08333,6.20758
20070922,14.993,0,107.4354167,3.53888,0.367101,3.71716
20070923,16.88,0.1,456.1958333,66.1103,-1.51057,6.60461
20070924,15.023,0,392.46875,60.8801,-1.7555,6.21979
20070925,19.647,0,390.38125,59.2421,-0.922558,5.66098
20070926,23.327,0,327.3604167,56.7275,-0.0156866,4.75143
20070927,18.893,0,290.6645833,35.1476,-1.07205,5.72399
20070928,16.482,13.4,169.0375,29.128,0.506069,4.41776
20070929,12.96,0,356.8520833,68.5514,-1.92576,6.56628
20070930,9.214,0,424.94375,53.1206,-1.47241,6.82997
20071001,11.121,0,248.4166667,25.8912,-2.97738,6.04196
20071002,13.153,0,293.4770833,49.4308,-2.27529,6.24898
20071003,15.345,0,182.325,20.3036,-1.36952,6.09324
20071004,17.909,0,391.3104167,62.198,-0.803075,7.18579
20071005,15.966,0,399.3,51.5413,-0.934473,5.73223
20071006,14.971,2.5,252.8625,40.6609,-0.558814,4.31127
20071007,10.164,0.1,396.6916667,59.7297,-0.693841,6.62916
20071008,9.295,0.3,199.83125,21.4226,-1.7037,4.90341
20071009,10.35,0.3,386.59375,34.3371,-1.51872,5.39856
20071010,10.494,0.2,53.8875,1.22788,1.45628,1.62441
20071011,12.841,1.3,152.2520833,17.5572,-0.555499,3.04957
20071012,11.706,53.7,30.49791667,0.894302,3.04546,0.868123
20071013,9.386,0,334.2604167,45.3063,-0.953916,4.44027
20071014,6.791,1.3,202.7666667,11.6433,-1.01546,3.45089
20071015,7.41,0,207.5083333,27.6604,-1.60701,3.27334
20071016,8.799,0,332.4458333,43.3815,-1.38524,3.52456
20071017,8.089,0,314.925,33.8979,-1.17432,2.07941
20071018,9.711,0,277.91875,31.6313,-1.33531,2.03731
20071019,12.114,7.8,60.19791667,4.64609,1.57714,1.34384
20071020,17.164,7.2,167.9979167,15.8311,-0.185416,3.58654
20071021,15.132,0,305.8166667,63.516,-0.140675,4.27418
20071022,16.42,0,301.55625,49.3994,-0.343397,4.27168
20071023,15.11,0,62.86041667,3.07108,1.37105,1.61711
20071024,10.121,0,193.0145833,31.1532,-0.67768,3.4835
20071025,8.516,0,244.275,32.2662,-0.673707,4.02959
20071026,6.711,0,296.0520833,25.418,-0.745619,4.49797
20071027,11.478,18.5,33.58958333,-0.745631,2.38767,0.966268
20071028,8.667,0,253.9229167,32.479,-1.11374,3.5488
20071029,1.947,0,218.5770833,17.0619,-0.32569,3.20384
20071030,3.796,0,255.1020833,18.5714,-0.123197,3.05157
20071031,6.684,0,250.4958333,12.0695,-0.470668,2.65927
20071101,9.954,0.2,57.24791667,5.67491,0.361468,0.848315
20071102,3.644,0,262.9708333,18.579,-0.469375,2.15875
20071103,2.493,55.3,42.66041667,2.22442,0.649305,0.429272
20071104,4.825,7.2,250.3979167,20.2715,-0.487274,1.51421
20071105,2.109,0,213.2729167,13.9748,-0.100329,0.929819
20071106,4.808,8.5,25.06041667,-3.8451,0.583984,0.0567659
20071107,3.213,0.2,156.0979167,4.07768,0.0183887,0.113783
20071108,2.04,0,103.375,7.43683,-0.084882,0.0295517
20071109,1.266,0,176.9520833,9.4095,-0.00445509,0.144346
20071110,-0.088,0,95.48958333,1.02086,0.369848,0.323219
20071111,-0.868,0,218.1875,7.99882,0.211814,0.860962
20071112,-0.854,0,214.9375,3.88017,0.586128,1.17345
20071113,1.847,3.6,66.70416667,0.0364913,0.187442,0.736931
20071114,5.63,0.1,191.4083333,1.8187,-0.562266,1.72567
20071115,12.369,12.8,14.29583333,-0.657156,1.21958,0.210997
20071116,3.439,19.5,40.12916667,-0.0501536,0.593896,0.364351
20071117,-0.23,0,186.0041667,8.53974,0.237735,0.796819
20071118,-2.156,0,146.8541667,4.30794,0.229785,0.760996
20071119,-3.321,0,195.24375,4.02055,1.02542,0.805533
20071120,-0.683,0,42.6625,0.014332,0.720616,0.460396
20071121,0.852,0.8,66.56666667,1.50235,0.563435,0.522265
20071122,0.988,14.8,16.76041667,0.132401,0.992517,0.217705
20071123,-1.101,0,135.2604167,1.64395,-0.274051,0.435304
20071124,-5.804,0,174.7208333,2.51704,0.86134,0.352862
20071125,-1.402,0,117.4645833,2.54524,0.546564,0.248231
20071126,1.833,10.4,59.83541667,1.27823,0.251326,0.139535
20071127,2.904,8.9,86.33541667,2.12744,0.126636,0.16362
20071128,-3.52,0,166.8,9.23877,0.773913,0.277891
20071129,-0.535,2.1,19.26875,0.750559,0.607423,0.0942153
20071130,-1.397,0,158.16875,5.79436,0.400811,0.175825
20071201,-6.839,0,109.6354167,2.08415,0.371971,0.11111
20071202,-8.42,0,93.29791667,2.0681,0.606766,0.141251
20071203,-4.965,0,20.98333333,-1.12012,0.606275,0.0741754
20071204,-2.077,0,55.7125,-2.00795,0.598783,0.0396465
20071205,-6.689,0,106.51875,-0.165141,0.527538,0
20071206,-10.296,0,156.4395833,1.66938,0.55568,0
20071207,-9.442,0,84.07291667,0.395557,0.485633,0
20071208,-5.499,0,129.1895833,0.729954,0.436871,0
20071209,-9.945,0,103.79375,1.87198,0.545797,0
20071210,-10.686,0,103.0583333,0.577466,0.513782,0
20071211,-8.241,0,104.0625,0.349855,0.453982,0
20071212,-2.255,2.3,93.11666667,-0.185776,0.359366,0
20071213,-12.06,0,93.33333333,1.76042,0.502715,0
20071214,-8.991,0,46.21041667,0.108329,0.448615,0
20071215,-12.415,0,156.8041667,0.134106,0.612639,0.00129866
20071216,-10.833,0,16.38958333,-0.380311,0.563471,0.000325466
20071217,-6.641,0,139.7083333,1.16636,0.542417,0.00373737
20071218,-11.374,0,132.4208333,1.83779,0.524673,0.00121984
20071219,-12.74,0,76.57083333,-0.0421397,0.607589,0
20071220,-7.046,0,57.86458333,-0.255581,0.610652,0
20071221,-10.4,0,155.3791667,0.916318,0.71652,0
20071222,-6.44,0,84.75208333,-0.209315,0.523684,0
20071223,3.773,9.1,27.23333333,-0.389546,0.537954,0.00370077
20071224,2.756,7,122.35625,1.37026,0.538681,0.0553982
20071225,0.927,0,94.15625,4.09817,0.526352,0.0764077
20071226,-2.605,0,127.2958333,1.16046,0.381549,0.138069
20071227,-1.77,0,48.90208333,-0.449472,0.633888,0.0456273
20071228,-3.329,0,34.47083333,0.106479,0.454754,0.0161941
20071229,-1.222,0,16.98958333,-0.292715,0.215877,0
20071230,-1.253,1.6,115.8270833,-1.62593,0.188577,0
20071231,-4.737,0,54.57083333,-0.773819,0.426798,0
20080101,-6.303,0,53.00625,-0.283639,0.434066,0
20080102,-8.236,0,135.7354167,0.302474,0.444003,0
20080103,-17.423,0,172.0895833,0.234213,0.533015,0
20080104,-14.579,0,123.1291667,-0.311874,0.456832,0
20080105,-5.257,0,67.64375,0.0658634,0.0504953,0
20080106,-0.259,0,33.04791667,0.274169,0.52014,0
20080107,2.124,8.3,94.60416667,0.0521399,0.612251,0
20080108,4.857,0,138.4708333,-0.231109,0.366905,0
20080109,6.186,1,20.57708333,2.01021,-0.844671,0
20080110,3.322,0,183.9979167,3.46586,0.163014,0
20080111,0.023,10.1,21.23541667,-0.121427,-1.07012,0
20080112,1.398,1.3,148.6,0.655061,-0.781216,0
20080113,-3.399,0,189.2770833,3.66519,-0.733434,0
20080114,-6.567,0,17.5625,0.302833,-1.52592,0
20080115,-6.128,0,168.10625,-0.598868,-0.624214,0
20080116,-5.705,0,142.0395833,1.4099,-0.482003,0
20080117,-8.133,0,187.3416667,0.919573,0.165631,0
20080118,-0.331,6.7,61.72708333,0.420249,0.179647,0
20080119,-4.056,0,180.8979167,1.48197,0.214928,0
20080120,-11.451,0,203.79375,0.651863,0.2615,0
20080121,-17.045,0,211.0416667,0.756743,0.411163,0
20080122,-9.641,0,89.91458333,1.93378,0.483888,0
20080123,-6.755,0,198.2895833,-2.19437,0.589583,0
20080124,-13.438,0,127.025,2.67902,0.602352,0
20080125,-15.655,0,215.1270833,1.7237,0.574643,0
20080126,-13.012,0,176.6208333,0.296637,0.542792,0
20080127,-12.971,0,191.78125,0.10675,0.526379,0.00486226
20080128,-8.158,0,151.0604167,9.09745,0.662028,0.0149716
20080129,-1.815,0.4,186.1979167,0.279403,0.583747,0.0149623
20080130,2.033,5.8,23.6625,-6.37328,0.628821,0.00303046
20080131,-4.874,0,238.7125,4.70579,0.62813,0
20080201,-6.871,0,77.94375,-0.24668,0.600822,0
20080202,-1.722,0,165.35625,2.23015,0.644242,0.0121961
20080203,-5.276,0,96.91666667,1.15714,0.620234,0.0340407
20080204,-6.457,0.1,305.8270833,-0.686029,0.627092,0.0978946
20080205,-3.399,0,25.23541667,-3.85265,0.597801,0.0216155
20080206,-1.269,0,74.39791667,-3.12567,0.609416,0.0713812
20080207,-8.288,0,88.89583333,-1.9255,0.552373,0.109826
20080208,-7.78,0,92.4375,-0.8395,0.648058,0.124626
20080209,-6.567,0.1,267.1333333,1.28815,0.764309,0.310315
20080210,-2.037,0,57.81666667,0.815776,0.640367,0.120844
20080211,-9.843,0,112.6895833,-0.902171,0.637099,0.247719
20080212,-11.446,0,283.3229167,0.560921,0.658571,0.468423
20080213,-4.15,0.1,24.53958333,-0.401443,0.646834,0.0698188
20080214,-3.323,0,254.6395833,3.72916,0.756202,0.505482
20080215,-4.364,0.3,164.8229167,1.68476,0.787089,0.402406
20080216,-13.617,0,309.225,4.85436,0.757685,0.689142
20080217,-8.048,0,270.30625,3.88543,0.773648,0.643364
20080218,5.885,35.9,37.51458333,-0.267543,0.725328,0.158642
20080219,0.595,0,242.125,3.70387,0.715558,0.713631
20080220,-7.877,0,324.2604167,5.58192,0.747351,0.912657
20080221,-12.782,0,336,5.57076,0.822275,0.981161
20080222,-10.147,0,199.33125,1.97741,0.71418,0.73248
20080223,-5.955,0,249.5958333,2.87423,0.663662,0.900261
20080224,-5.474,0.7,354.9854167,5.14145,0.71646,1.14967
20080225,-3.358,0.5,341.8541667,4.34171,0.691203,1.16519
20080226,-2.748,0.1,154.18125,1.9025,0.609988,0.584354
20080227,-1.679,0,122.9229167,2.00718,0.609175,0.164707
20080228,-8.688,0,318.4979167,3.63556,0.703743,0
20080229,-14.414,0,383.7375,7.55573,0.641304,0
20080301,-5.008,0,74.96875,0.302129,0.614231,0
20080302,-3.919,0,344.3791667,4.58295,0.661382,0
20080303,-5.178,0,123.5354167,0.56965,0.60687,0
20080304,3.076,4.7,140.5541667,2.47743,0.688086,0
20080305,-2.713,0,37.18541667,1.05865,0.778772,0
20080306,-2.95,4.7,360.7625,7.14137,0.665755,0
